Ranking,,Tier,LP
1,iiwandy,Challenger,"1,761"
2,roookie,Challenger,"1,402"
3,어상내하,Challenger,"1,322"
4,Monster toys,Challenger,"1,314"
5,SwordArt77777,Challenger,"1,298"
6,nodfan,Challenger,"1,280"
7,feng jin che hu,Challenger,"1,248"
8,Carecare1,Challenger,"1,191"
9,LSB Kael,Challenger,"1,189"
10,T1Zeus,Challenger,"1,184"
11,dalongmeil,Challenger,"1,183"
12,이 차가 식기전에,Challenger,"1,171"
13,07정글프로지망,Challenger,"1,133"
14,zxcasqwe,Challenger,"1,102"
15,농심라면다내꺼야,Challenger,"1,100"
16,댕청잇,Challenger,"1,090"
17,Needquiet,Challenger,"1,086"
18,디알엑스 태윤,Challenger,"1,085"
19,fragiIe,Challenger,"1,074"
20,jie yao,Challenger,"1,069"
21,srysrysrysrysr,Challenger,"1,050"
22,가민준,Challenger,"1,049"
23,채은누나 예쁘다,Challenger,"1,045"
24,JUGKlNG,Challenger,"1,044"
25,MUDAI,Challenger,"1,038"
26,쪼렙이다말로하자,Challenger,"1,036"
27,viper3,Challenger,"1,029"
28,왁컬로이두,Challenger,"1,029"
29,xiaozhewan,Challenger,"1,016"
30,희동1,Challenger,"1,006"
31,타 잔,Challenger,"1,004"
32,lIlIIllIlIIllIlI,Challenger,"1,000"
33,Hakunaa Matata,Challenger,996
34,dou ta ma biewan,Challenger,982
35,우찬굳,Challenger,974
36,전상득,Challenger,971
37,BRO Delight,Challenger,964
38,zzzusss,Challenger,959
39,T1 Gumayusi,Challenger,958
40,메가 영재,Challenger,954
41,tong hua baby,Challenger,950
42,yjzbaba,Challenger,941
43,knightt,Challenger,940
44,cutelin,Challenger,939
45,DK Sharvel,Challenger,932
46,1987456144Q,Challenger,931
47,잘했지 칭찬해줘,Challenger,922
48,ziyou,Challenger,917
49,KT Castle,Challenger,912
50,waiga,Challenger,910
51,Seven,Challenger,909
52,콩나물이좋아요,Challenger,909
53,Gen G Peyz,Challenger,908
54,듀얼아카데미입학,Challenger,900
55,KING MIR,Challenger,900
56,geti246,Challenger,895
57,DK Lucid,Challenger,895
58,FA Chasy,Challenger,895
59,칼과 창 방패,Challenger,894
60,qwetyz,Challenger,892
61,BRO Morgan,Challenger,891
62,cainiao3hao,Challenger,890
63,헤나의 룩북,Challenger,890
64,정훈이의 모험,Challenger,886
65,J God1,Challenger,880
66,LSB Envy,Challenger,875
67,신입 서폿,Challenger,868
68,Rascal,Challenger,868
69,agak,Challenger,865
70,삽살의갑갑,Challenger,863
71,yi jian tian hai,Challenger,859
72,징징문,Challenger,859
73,탑 혜지,Challenger,854
74,아아스크림,Challenger,844
75,gnswognswo,Challenger,844
76,lhyzz,Challenger,841
77,존중겸손아닥집중,Challenger,839
78,kgcjhADHSADN,Challenger,833
79,AhnHealth,Challenger,831
80,1Lq 1Lq,Challenger,831
81,Pa9oda,Challenger,829
82,ShellieMay,Challenger,829
83,DK Pullbae,Challenger,829
84,읽씹맨,Challenger,828
85,asdasasdasd,Challenger,823
86,sicsiksci,Challenger,822
87,Dont Start Now,Challenger,821
88,삼괴권1,Challenger,818
89,비둘기 도브,Challenger,817
90,오뚜기3분미트볼,Challenger,810
91,JUG242SH,Challenger,805
92,나 요,Challenger,800
93,HLE SamD01,Challenger,798
94,vicky99,Challenger,794
95,M1nit,Challenger,792
96,엉덩국 갱승제료,Challenger,790
97,ride on,Challenger,785
98,역시폭군,Challenger,785
99,Twitch 다훈갓,Challenger,784
100,Gen G Ruler,Challenger,784
101,NS Ruin,Challenger,780
102,행복한 태윤이,Challenger,778
103,커피물조절장인,Challenger,776
104,asdfdkkksz,Challenger,775
105,은가뉴,Challenger,773
106,역천괴,Challenger,773
107,스털링이게뭔가요,Challenger,772
108,Xbm,Challenger,767
109,IgNar,Challenger,767
110,Gen G Ruler,Challenger,765
111,hulatang,Challenger,761
112,Chancedong,Challenger,760
113,LSB Winter,Challenger,756
114,TES 77,Challenger,755
115,요플래,Challenger,755
116,dxnbnxddyda,Challenger,754
117,Trisak,Challenger,751
118,단군의청춘부재,Challenger,749
119,이렐아칼리,Challenger,748
120,Like 1999,Challenger,747
121,T1 Dal,Challenger,747
122,Cc3cC,Challenger,746
123,young talent,Challenger,745
124,모나감우피슬유라,Challenger,744
125,wdyl,Challenger,741
126,LCK Progamer,Challenger,741
127,크로꼬,Challenger,739
128,Sweet OwO,Challenger,739
129,zhonglexuruosan,Challenger,737
130,내미소에녹아내려,Challenger,735
131,구글 검색 코코팀,Challenger,734
132,아이린,Challenger,733
133,132412412,Challenger,731
134,LinaBell,Challenger,730
135,Quad,Challenger,730
136,ASD QQQ ZZZ,Challenger,729
137,Gen G Quid,Challenger,729
138,V5 R1ch,Challenger,728
139,Ukyczzz,Challenger,727
140,별이 돼야 해,Challenger,725
141,wdscsafdasf,Challenger,723
142,ToT5,Challenger,716
143,we1shengjian,Challenger,715
144,Heimskaut refur,Challenger,714
145,bwcx,Challenger,713
146,어쩌라고맞짱뜰까,Challenger,711
147,HLE Seonbi,Challenger,710
148,ytmr2,Challenger,709
149,날으는참새1,Challenger,709
150,jkjkjkjkk,Challenger,707
151,JUNGIE GOD 12,Challenger,706
152,fIips,Challenger,706
153,다없수질,Challenger,706
154,Azhy,Challenger,705
155,zenbukorosu,Challenger,703
156,Beau Voyage,Challenger,703
157,NO 15 NO FF,Challenger,698
158,재훈이의모함,Challenger,698
159,MIDKlNG,Challenger,697
160,lzay ming,Challenger,696
161,meiyoudalong,Challenger,695
162,xiangcai,Challenger,695
163,cainiao2hao,Challenger,695
164,땀비몬,Challenger,695
165,DK Kingdom,Challenger,695
166,qqgg,Challenger,693
167,day1000000000000,Challenger,691
168,야 망,Challenger,691
169,신상공원,Challenger,691
170,qweaszv,Challenger,691
171,도구는 툴툴,Challenger,691
172,온 재,Challenger,690
173,Top clown,Challenger,689
174,Ballantine30,Challenger,688
175,코 태,Challenger,688
176,Canna00,Challenger,682
177,13aize,Challenger,680
178,hunzi2,Challenger,679
179,xianglibie,Challenger,678
180,유준유준유준,Challenger,677
181,FA TaNa,Challenger,676
182,캐 인,Challenger,671
183,양희지,Challenger,667
184,DWG KIA,Challenger,665
185,킬러톱,Challenger,663
186,qseawd,Challenger,661
187,HNChaonan,Challenger,660
188,HLE Lure,Challenger,659
189,광팔햄,Challenger,659
190,zcxadfst,Challenger,658
191,Pungyeonn,Challenger,656
192,bailanadno1,Challenger,656
193,호랑이는공룡알,Challenger,654
194,BRO Hena,Challenger,654
195,adc on1y,Challenger,653
196,폼 팡,Challenger,653
197,제드팀 구글 검색,Challenger,652
198,86 zhendewudi,Challenger,652
199,구글 롤 코코팀,Challenger,651
200,부리부리웰시코기,Challenger,651
201,Ninja33,Challenger,649
202,zisu,Challenger,648
203,lieguo,Challenger,646
204,tianqileng,Challenger,646
205,레전드오브롤1244,Challenger,645
206,RinNyang,Challenger,645
207,cryscata,Challenger,645
208,Recall99,Challenger,644
209,콘치즈마싯어,Challenger,644
210,kukukukuku,Challenger,643
211,whisper snow,Challenger,643
212,몰랐던,Challenger,642
213,난화내,Challenger,641
214,UijU,Challenger,640
215,그체연락친추주셈,Challenger,637
216,wisls,Challenger,637
217,열심히해볼생각,Challenger,637
218,농심 바이탈,Challenger,636
219,Uneasy12,Challenger,635
220,FA Na Kyung,Challenger,634
221,xiao cai niao,Challenger,633
222,jingjingDebaba,Challenger,632
223,GGGori,Challenger,632
224,UCAL,Challenger,632
225,은아 예쁘다,Challenger,631
226,청포도육포,Challenger,630
227,Clever9,Challenger,630
228,E T E R N U M l,Challenger,629
229,DK ShowMaker,Challenger,629
230,Migungzz,Challenger,627
231,wu tiao jian,Challenger,626
232,구운몽임,Challenger,626
233,NS HH,Challenger,625
234,하얗고예쁨,Challenger,625
235,FPX q2380023067g,Challenger,624
236,Honp1,Challenger,624
237,Neth3rworld,Challenger,624
238,fvck yu,Challenger,623
239,쫌비킹,Challenger,623
240,pOnYtAiLmAN,Challenger,621
241,Iove poppy,Challenger,620
242,어리고싶다,Challenger,620
243,PKMNtrainerRed,Challenger,619
244,광연4,Challenger,619
245,율자주세요,Challenger,619
246,Lehends,Challenger,617
247,Look to Sky,Challenger,616
248,아이엔브이유,Challenger,615
249,hennanbubai,Challenger,615
250,aaaaaaaaaaaq,Challenger,612
