Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Jinx,1744,881,84%,931,813,53%,4.3,4.7,31:47:00,9.6,546,449,1.5,85,-65
Xin Zhao,1314,911,71%,654,660,50%,2.7,5,32:16:00,5.4,300,329,-1.9,-107,-76
Gwen,824,1394,71%,425,399,52%,2.8,4.9,31:52:00,8.1,466,398,0.5,-52,10
Zeri,471,1603,67%,277,194,59%,5.1,3.7,31:34:00,9.4,565,452,-0.8,-20,21
Lee Sin,1104,955,66%,577,527,52%,3.5,4.3,32:04:00,5.5,275,341,-2.3,28,-24
Aphelios,1463,457,62%,713,750,49%,3.4,4.8,32:08:00,9.1,505,432,0.4,97,28
Nautilus,1268,544,58%,617,651,49%,2.3,7.3,31:43:00,1.1,139,232,2.3,-52,-51
Ryze,766,927,54%,349,417,46%,3.6,4.8,31:31:00,9.1,409,408,4,108,42
Caitlyn,276,1309,51%,141,135,51%,3.9,3.7,32:59:00,9.1,510,439,7.7,469,66
Leona,1078,443,49%,557,521,52%,2.4,7.7,32:17:00,1.2,108,233,2.7,-29,-44
Thresh,655,861,49%,345,310,53%,3.1,5.3,32:27:00,1.1,105,234,2.7,-8,-37
LeBlanc,391,1013,45%,183,208,47%,4.2,5.7,32:19:00,7.8,524,381,4,126,218
Jayce,555,848,45%,283,272,51%,2.5,6.8,32:05:00,8.5,654,417,10.4,325,5
Akali,436,917,43%,235,201,54%,3.1,5.2,32:45:00,7.6,482,385,-4.9,-136,69
Twisted Fate,255,1080,43%,148,107,58%,4.7,3.8,32:13:00,7.7,397,403,-9.7,274,-172
Hecarim,623,711,43%,323,300,52%,3.5,4.6,31:17:00,5.8,282,347,4.6,76,137
Viktor,804,485,41%,411,393,51%,3.6,6.6,32:37:00,8.8,641,406,2.6,-67,80
Corki,499,749,40%,271,228,54%,4.2,4.7,33:15:00,9.2,719,442,0.9,130,-41
Viego,863,369,40%,422,441,49%,3.4,5.5,32:14:00,5.7,280,349,1.5,86,38
Renekton,433,716,37%,188,245,43%,2.3,4.9,31:52:00,8.1,358,382,8.2,310,160
Karma,418,721,37%,184,234,44%,3.4,4.4,32:37:00,1.8,251,253,-12.4,-107,-152
Tryndamere,342,784,36%,178,164,52%,2.9,5.8,31:43:00,8.9,389,432,3.9,312,201
Graves,697,386,35%,326,371,47%,2.6,6,32:05:00,8.9,500,414,5.5,151,89
Ahri,603,436,33%,314,289,52%,4.4,5.5,31:39:00,8.3,478,396,0.6,85,82
Diana,280,754,33%,136,144,49%,2.9,3.8,31:07:00,6.7,395,374,14,374,501
Camille,413,583,32%,226,187,55%,2.5,7.5,31:24:00,7.5,425,389,-4.5,-125,-16
Jarvan IV,484,508,32%,235,249,49%,3.3,6,32:13:00,5,246,324,-5.4,-156,-210
Gnar,624,297,30%,319,305,51%,2.6,7.3,31:43:00,8.1,466,391,4.4,186,110
Syndra,389,524,29%,172,217,44%,2.8,7.2,32:19:00,8.3,507,384,5,31,-43
Tahm Kench,505,403,29%,258,247,51%,2.8,6.3,31:40:00,1.4,161,238,2.5,-46,71
Vex,376,521,29%,186,190,49%,3.3,6.8,31:52:00,7.7,477,375,-5.7,-139,-184
