,0
gameid,object
datacompleteness,object
url,object
league,object
year,int64
split,object
playoffs,int64
date,object
game,int64
patch,float64
participantid,int64
side,object
position,object
playername,object
playerid,object
teamname,object
teamid,object
champion,object
ban1,object
ban2,object
ban3,object
ban4,object
ban5,object
gamelength,int64
result,int64
kills,int64
deaths,int64
assists,int64
teamkills,int64
teamdeaths,int64
doublekills,float64
triplekills,float64
quadrakills,float64
pentakills,float64
firstblood,float64
firstbloodkill,float64
firstbloodassist,float64
firstbloodvictim,float64
team kpm,float64
ckpm,float64
firstdragon,float64
dragons,float64
opp_dragons,float64
elementaldrakes,float64
opp_elementaldrakes,float64
infernals,float64
mountains,float64
clouds,float64
oceans,float64
chemtechs,float64
hextechs,float64
dragons (type unknown),float64
elders,float64
opp_elders,float64
firstherald,float64
heralds,float64
opp_heralds,float64
firstbaron,float64
barons,float64
opp_barons,float64
firsttower,float64
towers,float64
opp_towers,float64
firstmidtower,float64
firsttothreetowers,float64
turretplates,float64
opp_turretplates,float64
inhibitors,float64
opp_inhibitors,float64
damagetochampions,float64
dpm,float64
damageshare,float64
damagetakenperminute,float64
damagemitigatedperminute,float64
wardsplaced,float64
wpm,float64
wardskilled,float64
wcpm,float64
controlwardsbought,float64
visionscore,float64
vspm,float64
totalgold,int64
earnedgold,float64
earned gpm,float64
earnedgoldshare,float64
goldspent,float64
gspd,float64
total cs,float64
minionkills,float64
monsterkills,float64
monsterkillsownjungle,float64
monsterkillsenemyjungle,float64
cspm,float64
goldat10,float64
xpat10,float64
csat10,float64
opp_goldat10,float64
opp_xpat10,float64
opp_csat10,float64
golddiffat10,float64
xpdiffat10,float64
csdiffat10,float64
killsat10,float64
assistsat10,float64
deathsat10,float64
opp_killsat10,float64
opp_assistsat10,float64
opp_deathsat10,float64
goldat15,float64
xpat15,float64
csat15,float64
opp_goldat15,float64
opp_xpat15,float64
opp_csat15,float64
golddiffat15,float64
xpdiffat15,float64
csdiffat15,float64
killsat15,float64
assistsat15,float64
deathsat15,float64
opp_killsat15,float64
opp_assistsat15,float64
opp_deathsat15,float64
