Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
113, TR,JUNGLE,21,57.10%,2.8,2.4,3.3,6.7,5.1,322,0.608,14.4,289,1.22,0.38,0.26,0.28,-65,-4,-332,42.90%,14.30%,0,1
2Cups, MK,MID,6,33.30%,2.4,1.2,3.3,6.8,7.5,340,0.59,21.9,421,1,0.49,0.11,0.24,-561,-10,-293,0%,16.70%,0,2
2T, VN,MID,23,34.80%,2.5,2.5,3.4,6,7.8,372,0.58,24.4,466,1.24,0.51,0.24,0.26,-243,-9,-178,17.40%,8.70%,0,7
361efe, TR,JUNGLE,25,80%,3.8,2.8,2.4,6.5,5.4,352,0.606,13.1,264,1.14,0.46,0.23,0.41,231,-1,-173,36%,4%,0,3
361efe, TR,SUPPORT,1,0%,0.6,1,8,4,1.1,246,0.5,16.6,317,1.81,0.87,0.19,0.19,-255,-13,-1601,0%,0%,0,-
369, CN,TOP,38,68.40%,3.3,2.8,2.8,6.3,7.8,395,0.593,25.7,539,-,-,-,-,-,-,-,-,-,-,-
5Kid, KR,ADC,22,72.70%,4.9,5.1,2.1,5.3,9.7,450,0.768,29.5,569,1.34,0.53,0.37,0.23,325,6,83,36.40%,4.50%,0,4
665, TW,JUNGLE,18,44.40%,2.4,3.2,4.1,6.4,5.6,336,0.671,17.7,328,1.22,0.25,0.37,0.23,-271,-3,-124,33.30%,16.70%,1,2
6ax, BG,MID,18,44.40%,3.7,4.1,2.7,5.8,8.1,399,0.66,26.6,520,1.03,0.4,0.16,0.14,344,9,217,5.60%,5.60%,0,7
ADD, KR,TOP,21,52.40%,2.5,2.8,3.3,5.5,7.9,398,0.615,28.1,526,1.32,0.47,0.26,0.15,466,2,-20,23.80%,14.30%,0,8
AKi, CN,JUNGLE,41,48.80%,3.2,2.7,2.6,5.9,5.7,348,0.674,13.9,263,-,-,-,-,-,-,-,-,-,-,-
